Nâng cấp bắt đầu: 23:06:40_05-10-2023
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/funcs/main.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/language/admin_en.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/language/admin_fr.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/language/admin_vi.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/theme.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/version.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/feeds/version.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/freecontent/admin/list.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/freecontent/admin/manager.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/freecontent/version.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/menu/admin/rows.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/menu/blocks/global.bootstrap.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/menu/menu_blocks.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/menu/version.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/Log/Log.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/Log/index.html | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/Shared/Logs.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/Shared/Posts.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/Shared/index.html | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/action_mysql.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/admins.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/cat.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/change_cat.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/content.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/declined.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/main.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/move.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/publtime.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/re-published.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/setting.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/stop.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/tags.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/voices.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin/waiting.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin.functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/news/admin.menu.php | SUCCESS
